GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponseBookingGet,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponseComplexGet,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponseClosureGet,12,40,0,0,4,18,4,11,4,11
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponsePitchGet,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponseUserGet,18,34,0,0,6,16,6,9,6,9
reserva-canchas-backend,com.epiis.reservacanchas.dto.response,ResponseTransactionGet,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.generic,ResponseGeneric,16,22,0,0,8,8,4,5,4,5
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessComplex,1,358,1,11,1,84,1,9,0,4
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessBooking,0,501,2,16,0,118,2,11,0,4
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessUser,292,296,13,11,74,69,10,8,2,4
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessClosure,0,223,1,7,0,51,1,6,0,3
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessTransaction,0,158,0,2,0,36,0,4,0,3
reserva-canchas-backend,com.epiis.reservacanchas.business,BusinessPitch,119,316,12,12,26,75,9,8,1,4
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestUserRegister,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestClosureInsert,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestComplexApprove,3,0,0,0,1,0,1,0,1,0
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestComplexUpdate,8,51,0,0,2,15,2,15,2,15
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestPitchInsert,8,37,0,0,2,11,2,11,2,11
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestPitchUpdate,15,37,0,0,4,11,4,11,4,11
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestBookingInsert,0,3,0,0,0,1,0,1,0,1
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestUserToggleBlock,3,0,0,0,1,0,1,0,1,0
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestUserLogin,0,17,0,0,0,7,0,5,0,5
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestUserRegister.ComplexData,3,0,0,0,1,0,1,0,1,0
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestBookingCancel,0,10,0,0,0,4,0,3,0,3
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestTransactionInsert,0,38,0,0,0,11,0,11,0,11
reserva-canchas-backend,com.epiis.reservacanchas.dto.request,RequestUserSubscribe,3,0,0,0,1,0,1,0,1,0
reserva-canchas-backend,com.epiis.reservacanchas,ReservaCanchasApplication,8,0,0,0,3,0,2,0,2,0
reserva-canchas-backend,com.epiis.reservacanchas,WebConfig,57,0,0,0,8,0,2,0,2,0
reserva-canchas-backend,com.epiis.reservacanchas.helper,GenericHelper,40,0,2,0,8,0,5,0,4,0
reserva-canchas-backend,com.epiis.reservacanchas.config,SecurityConfig,265,0,4,0,37,0,16,0,14,0
reserva-canchas-backend,com.epiis.reservacanchas.config,GlobalExceptionHandler,24,0,0,0,5,0,2,0,2,0
reserva-canchas-backend,com.epiis.reservacanchas.entity,EntityClosure,13,60,0,0,5,26,4,17,4,17
reserva-canchas-backend,com.epiis.reservacanchas.entity,EntityComplex,26,98,1,3,11,38,8,27,7,26
reserva-canchas-backend,com.epiis.reservacanchas.entity,EntityPitch,20,60,0,0,8,26,6,17,6,17
reserva-canchas-backend,com.epiis.reservacanchas.entity,EntityTransaction,13,53,0,0,5,23,4,15,4,15
reserva-canchas-backend,com.epiis.reservacanchas.entity,EntityBooking,20,102,0,0,8,44,6,29,6,29
